Diameter	Volume
0.375124	0.160363
0.411798	0.290364
0.452057	0.429941
0.496252	0.611282
0.544768	0.748456
0.598027	0.866375
0.656493	0.962225
0.720675	1.046
0.791132	1.08557
0.868477	1.093
0.953383	1.06307
1.04659	1.00219
1.14891	0.904698
1.26123	0.781496
1.38454	0.644156
1.5199	0.502093
1.66849	0.369939
1.83161	0.260047
2.01068	0.194533
2.20725	0.175016
2.42304	0.211432
2.65993	0.306564
2.91998	0.481933
3.20545	0.736836
3.51883	1.06966
3.86284	1.45111
4.24049	1.85732
4.65506	2.26499
5.11017	2.64527
5.60976	2.97673
6.1582	3.21468
6.76025	3.35488
7.42117	3.37696
8.14669	3.31684
8.94315	3.18902
9.81748	3.05209
10.7773	2.94072
11.8309	2.87665
12.9876	2.87648
14.2573	2.88424
15.6512	2.92632
17.1813	2.93522
18.861	2.97721
20.705	3.02422
22.7292	3.11214
24.9513	3.26307
27.3906	3.42612
30.0685	3.62152
33.0081	3.70147
36.2352	3.62303
39.7777	3.26175
43.6665	2.62604
47.9356	1.82374
52.622	0.969989
57.7666	0.360878
63.4141	0.0668342
69.6138	0.00522802
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

