Diameter	Volume
0.375124	0.149302
0.411798	0.270527
0.452057	0.400753
0.496252	0.570025
0.544768	0.698303
0.598027	0.809335
0.656493	0.900344
0.720675	0.980672
0.791132	1.02023
0.868477	1.03097
0.953383	1.00796
1.04659	0.95706
1.14891	0.872899
1.26123	0.765658
1.38454	0.646052
1.5199	0.522494
1.66849	0.408559
1.83161	0.313613
2.01068	0.257587
2.20725	0.243084
2.42304	0.281795
2.65993	0.374221
2.91998	0.537928
3.20545	0.771156
3.51883	1.07333
3.86284	1.41929
4.24049	1.78709
4.65506	2.15648
5.11017	2.50125
5.60976	2.80425
6.1582	3.02399
6.76025	3.15912
7.42117	3.18889
8.14669	3.14871
8.94315	3.04898
9.81748	2.94216
10.7773	2.85436
11.8309	2.80575
12.9876	2.81718
14.2573	2.83797
15.6512	2.89932
17.1813	2.92131
18.861	2.97058
20.705	3.01533
22.7292	3.11556
24.9513	3.32275
27.3906	3.59288
30.0685	3.9418
33.0081	4.15383
36.2352	4.11856
39.7777	3.67433
43.6665	2.85174
47.9356	1.84239
52.622	0.886699
57.7666	0.285036
63.4141	0.0458081
69.6138	0.00275359
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

