Diameter	Volume
0.375124	0.17659
0.411798	0.31908
0.452057	0.47195
0.496252	0.673082
0.544768	0.830178
0.598027	0.968261
0.656493	1.08425
0.720675	1.19115
0.791132	1.25681
0.868477	1.29126
0.953383	1.28702
1.04659	1.25173
1.14891	1.18092
1.26123	1.08136
1.38454	0.959841
1.5199	0.823444
1.66849	0.687539
1.83161	0.558885
2.01068	0.456538
2.20725	0.380617
2.42304	0.345936
2.65993	0.350836
2.91998	0.412017
3.20545	0.525016
3.51883	0.689864
3.86284	0.887274
4.24049	1.10691
4.65506	1.33987
5.11017	1.56266
5.60976	1.75843
6.1582	1.88879
6.76025	1.97135
7.42117	1.99215
8.14669	1.98794
8.94315	1.94749
9.81748	1.91995
10.7773	1.92562
11.8309	1.99764
12.9876	2.16111
14.2573	2.35437
15.6512	2.61306
17.1813	2.82487
18.861	3.07782
20.705	3.30755
22.7292	3.59836
24.9513	4.02349
27.3906	4.54054
30.0685	5.1837
33.0081	5.63486
36.2352	5.71215
39.7777	5.15914
43.6665	4.01725
47.9356	2.5794
52.622	1.22475
57.7666	0.383855
63.4141	0.0600827
69.6138	0.00339917
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

