Diameter	Volume
0.375124	0.0959269
0.411798	0.173625
0.452057	0.256897
0.496252	0.366195
0.544768	0.448122
0.598027	0.518849
0.656493	0.575813
0.720675	0.627671
0.791132	0.651903
0.868477	0.65739
0.953383	0.640295
1.04659	0.606636
1.14891	0.551018
1.26123	0.480312
1.38454	0.402097
1.5199	0.320733
1.66849	0.247392
1.83161	0.186304
2.01068	0.152439
2.20725	0.143051
2.42304	0.169211
2.65993	0.229812
2.91998	0.340413
3.20545	0.495399
3.51883	0.696182
3.86284	0.925682
4.24049	1.17235
4.65506	1.42723
5.11017	1.66909
5.60976	1.88959
6.1582	2.0552
6.76025	2.18211
7.42117	2.24788
8.14669	2.27587
8.94315	2.25518
9.81748	2.22772
10.7773	2.22099
11.8309	2.24987
12.9876	2.33509
14.2573	2.404
15.6512	2.52307
17.1813	2.64338
18.861	2.89838
20.705	3.22539
22.7292	3.62509
24.9513	4.0414
27.3906	4.35417
30.0685	4.64968
33.0081	4.829
36.2352	5.011
39.7777	5.08131
43.6665	4.95574
47.9356	4.50784
52.622	3.65008
57.7666	2.53069
63.4141	1.33118
69.6138	0.478758
76.4196	0.0861296
83.8907	0.00618187
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

