Diameter	Volume
0.375124	0.259033
0.411798	0.466165
0.452057	0.689722
0.496252	0.982912
0.544768	1.21167
0.598027	1.40873
0.656493	1.5741
0.720675	1.72419
0.791132	1.81443
0.868477	1.85379
0.953383	1.83714
1.04659	1.77434
1.14891	1.661
1.26123	1.50388
1.38454	1.31584
1.5199	1.10965
1.66849	0.906452
1.83161	0.717053
2.01068	0.564998
2.20725	0.454946
2.42304	0.402997
2.65993	0.408507
2.91998	0.487293
3.20545	0.634768
3.51883	0.847242
3.86284	1.09932
4.24049	1.37412
4.65506	1.65347
5.11017	1.90665
5.60976	2.10708
6.1582	2.21524
6.76025	2.24442
7.42117	2.18688
8.14669	2.08044
8.94315	1.92725
9.81748	1.78831
10.7773	1.69706
11.8309	1.68228
12.9876	1.75396
14.2573	1.8487
15.6512	2.00517
17.1813	2.15254
18.861	2.37446
20.705	2.58707
22.7292	2.79581
24.9513	2.99975
27.3906	3.17556
30.0685	3.45657
33.0081	3.74953
36.2352	4.08634
39.7777	4.2509
43.6665	4.0854
47.9356	3.50379
52.622	2.54167
57.7666	1.41529
63.4141	0.534708
69.6138	0.101642
76.4196	0.00776243
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

