Diameter	Volume
0.375124	0.368736
0.411798	0.661471
0.452057	0.978417
0.496252	1.3949
0.544768	1.72505
0.598027	2.00874
0.656493	2.25063
0.720675	2.47183
0.791132	2.6168
0.868477	2.6886
0.953383	2.68491
1.04659	2.6178
1.14891	2.48642
1.26123	2.2909
1.38454	2.04858
1.5199	1.77683
1.66849	1.50435
1.83161	1.2413
2.01068	1.01048
2.20725	0.81909
2.42304	0.688901
2.65993	0.626939
2.91998	0.643229
3.20545	0.72531
3.51883	0.859979
3.86284	1.03123
4.24049	1.22515
4.65506	1.42264
5.11017	1.58239
5.60976	1.67217
6.1582	1.66767
6.76025	1.59869
7.42117	1.47944
8.14669	1.33487
8.94315	1.16557
9.81748	1.02745
10.7773	0.957231
11.8309	0.982984
12.9876	1.08676
14.2573	1.17905
15.6512	1.25482
17.1813	1.26578
18.861	1.35004
20.705	1.49601
22.7292	1.75328
24.9513	2.07369
27.3906	2.34157
30.0685	2.57201
33.0081	2.666
36.2352	2.75978
39.7777	2.85683
43.6665	3.01094
47.9356	3.20404
52.622	3.29179
57.7666	3.17028
63.4141	2.71763
69.6138	1.99039
76.4196	1.11174
83.8907	0.423067
92.0923	0.0806778
101.096	0.00616236
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

