Diameter	Volume
0.375124	0.332015
0.411798	0.596112
0.452057	0.881303
0.496252	1.25591
0.544768	1.55097
0.598027	1.80381
0.656493	2.01687
0.720675	2.21044
0.791132	2.33227
0.868477	2.38728
0.953383	2.37151
1.04659	2.29725
1.14891	2.16256
1.26123	1.97026
1.38454	1.7363
1.5199	1.47702
1.66849	1.2193
1.83161	0.974429
2.01068	0.766404
2.20725	0.601045
2.42304	0.498999
2.65993	0.463313
2.91998	0.506577
3.20545	0.618623
3.51883	0.791186
3.86284	1.00338
4.24049	1.24042
4.65506	1.48298
5.11017	1.69367
5.60976	1.8418
6.1582	1.89423
6.76025	1.87379
7.42117	1.78331
8.14669	1.6544
8.94315	1.48729
9.81748	1.34397
10.7773	1.26035
11.8309	1.26337
12.9876	1.34185
14.2573	1.40612
15.6512	1.47916
17.1813	1.51564
18.861	1.65547
20.705	1.86357
22.7292	2.15554
24.9513	2.46585
27.3906	2.67569
30.0685	2.8445
33.0081	2.91938
36.2352	3.06352
39.7777	3.25683
43.6665	3.49162
47.9356	3.6481
52.622	3.51911
57.7666	3.03799
63.4141	2.21678
69.6138	1.23363
76.4196	0.469024
83.8907	0.0889466
92.0923	0.00697224
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

