Diameter	Volume
0.375124	0.2909
0.411798	0.522871
0.452057	0.773516
0.496252	1.10352
0.544768	1.36382
0.598027	1.58938
0.656493	1.78122
0.720675	1.95841
0.791132	2.07263
0.868477	2.13148
0.953383	2.12991
1.04659	2.07919
1.14891	1.97452
1.26123	1.81986
1.38454	1.62799
1.5199	1.41188
1.66849	1.19351
1.83161	0.981031
2.01068	0.796014
2.20725	0.642009
2.42304	0.539097
2.65993	0.488738
2.91998	0.503372
3.20545	0.572212
3.51883	0.690666
3.86284	0.841871
4.24049	1.01541
4.65506	1.19795
5.11017	1.36074
5.60976	1.48184
6.1582	1.53026
6.76025	1.52962
7.42117	1.47416
8.14669	1.39138
8.94315	1.27062
9.81748	1.16412
10.7773	1.10121
11.8309	1.10634
12.9876	1.18033
14.2573	1.23811
15.6512	1.32255
17.1813	1.38905
18.861	1.58777
20.705	1.86816
22.7292	2.24129
24.9513	2.62476
27.3906	2.89278
30.0685	3.12252
33.0081	3.26326
36.2352	3.51402
39.7777	3.84227
43.6665	4.23694
47.9356	4.53104
52.622	4.45295
57.7666	3.90354
63.4141	2.89036
69.6138	1.63221
76.4196	0.63143
83.8907	0.121597
92.0923	0.00978403
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

