Diameter	Volume
0.375124	0.196023
0.411798	0.352989
0.452057	0.521882
0.496252	0.744801
0.544768	0.920535
0.598027	1.07414
0.656493	1.20427
0.720675	1.32525
0.791132	1.40336
0.868477	1.44616
0.953383	1.44777
1.04659	1.41659
1.14891	1.34897
1.26123	1.24996
1.38454	1.12774
1.5199	0.990133
1.66849	0.853871
1.83161	0.725966
2.01068	0.625308
2.20725	0.552439
2.42304	0.522702
2.65993	0.536087
2.91998	0.609022
3.20545	0.734974
3.51883	0.910879
3.86284	1.11538
4.24049	1.33589
4.65506	1.56028
5.11017	1.76223
5.60976	1.91969
6.1582	1.99399
6.76025	2.0023
7.42117	1.93285
8.14669	1.82127
8.94315	1.66272
9.81748	1.51521
10.7773	1.40686
11.8309	1.36366
12.9876	1.40019
14.2573	1.45149
15.6512	1.58264
17.1813	1.72988
18.861	2.01262
20.705	2.3218
22.7292	2.65563
24.9513	2.9856
27.3906	3.27652
30.0685	3.70949
33.0081	4.19123
36.2352	4.80604
39.7777	5.28644
43.6665	5.40203
47.9356	4.95341
52.622	3.8918
57.7666	2.50488
63.4141	1.18511
69.6138	0.361145
76.4196	0.0551213
83.8907	0.00278297
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

