Diameter	Volume
0.375124	0.198885
0.411798	0.360108
0.452057	0.532991
0.496252	0.757901
0.544768	0.93039
0.598027	1.07989
0.656493	1.20321
0.720675	1.31206
0.791132	1.36975
0.868477	1.38937
0.953383	1.36476
1.04659	1.30317
1.14891	1.19911
1.26123	1.06427
1.38454	0.912289
1.5199	0.754914
1.66849	0.607557
1.83161	0.483636
2.01068	0.407974
2.20725	0.387535
2.42304	0.434058
2.65993	0.54929
2.91998	0.753265
3.20545	1.04757
3.51883	1.4282
3.86284	1.8631
4.24049	2.32192
4.65506	2.77832
5.11017	3.20166
5.60976	3.56461
6.1582	3.81408
6.76025	3.93884
7.42117	3.9273
8.14669	3.81937
8.94315	3.63045
9.81748	3.40932
10.7773	3.19615
11.8309	3.0288
12.9876	2.93222
14.2573	2.83673
15.6512	2.72385
17.1813	2.53362
18.861	2.37383
20.705	2.33096
22.7292	2.48909
24.9513	2.8449
27.3906	3.21171
30.0685	3.37915
33.0081	3.11592
36.2352	2.43949
39.7777	1.52975
43.6665	0.698515
47.9356	0.203389
52.622	0.0294009
57.7666	0.00139854
63.4141	0
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

