Diameter	Volume
0.375124	0.24223
0.411798	0.43802
0.452057	0.647433
0.496252	0.920792
0.544768	1.13364
0.598027	1.31862
0.656493	1.47217
0.720675	1.60861
0.791132	1.68796
0.868477	1.72208
0.953383	1.70303
1.04659	1.63928
1.14891	1.52791
1.26123	1.38
1.38454	1.20962
1.5199	1.02989
1.66849	0.859808
1.83161	0.715282
2.01068	0.624143
2.20725	0.59481
2.42304	0.639462
2.65993	0.760923
2.91998	0.982222
3.20545	1.30551
3.51883	1.7211
3.86284	2.18949
4.24049	2.6765
4.65506	3.154
5.11017	3.58627
5.60976	3.93304
6.1582	4.1304
6.76025	4.16665
7.42117	4.04081
8.14669	3.80111
8.94315	3.46669
9.81748	3.09638
10.7773	2.74872
11.8309	2.48115
12.9876	2.32117
14.2573	2.1865
15.6512	2.04599
17.1813	1.84213
18.861	1.69581
20.705	1.69794
22.7292	1.92645
24.9513	2.36899
27.3906	2.81591
30.0685	3.03078
33.0081	2.78847
36.2352	2.13213
39.7777	1.22112
43.6665	0.472545
47.9356	0.0912162
52.622	0.00708452
57.7666	0
63.4141	0
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

