Diameter	Volume
0.375124	0.115939
0.411798	0.209978
0.452057	0.31109
0.496252	0.442797
0.544768	0.540863
0.598027	0.624931
0.656493	0.692469
0.720675	0.752253
0.791132	0.777554
0.868477	0.779145
0.953383	0.752937
1.04659	0.705037
1.14891	0.628965
1.26123	0.533649
1.38454	0.428289
1.5199	0.3192
1.66849	0.219034
1.83161	0.135679
2.01068	0.088366
2.20725	0.0735317
2.42304	0.0998171
2.65993	0.170484
2.91998	0.306468
3.20545	0.501837
3.51883	0.757462
3.86284	1.05228
4.24049	1.37144
4.65506	1.69891
5.11017	2.01028
5.60976	2.29415
6.1582	2.51577
6.76025	2.68223
7.42117	2.76821
8.14669	2.7987
8.94315	2.77469
9.81748	2.74643
10.7773	2.74177
11.8309	2.77102
12.9876	2.84765
14.2573	2.91054
15.6512	3.01392
17.1813	3.10491
18.861	3.27479
20.705	3.46393
22.7292	3.68129
24.9513	3.91679
27.3906	4.11289
30.0685	4.34601
33.0081	4.49495
36.2352	4.57569
39.7777	4.41233
43.6665	3.92691
47.9356	3.12059
52.622	2.08834
57.7666	1.07495
63.4141	0.370256
69.6138	0.0652565
76.4196	0.00434742
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

