Diameter	Volume
0.375124	0.168256
0.411798	0.304773
0.452057	0.450995
0.496252	0.640879
0.544768	0.785329
0.598027	0.909674
0.656493	1.01071
0.720675	1.09837
0.791132	1.14098
0.868477	1.14997
0.953383	1.11936
1.04659	1.05508
1.14891	0.953165
1.26123	0.823801
1.38454	0.678535
1.5199	0.526382
1.66849	0.383438
1.83161	0.263048
2.01068	0.189024
2.20725	0.162601
2.42304	0.192503
2.65993	0.281708
2.91998	0.454246
3.20545	0.711584
3.51883	1.05137
3.86284	1.44243
4.24049	1.86004
4.65506	2.28116
5.11017	2.67636
5.60976	3.02178
6.1582	3.26967
6.76025	3.41342
7.42117	3.43387
8.14669	3.36974
8.94315	3.23536
9.81748	3.08914
10.7773	2.96233
11.8309	2.88255
12.9876	2.86881
14.2573	2.86626
15.6512	2.8932
17.1813	2.86405
18.861	2.85179
20.705	2.84291
22.7292	2.91458
24.9513	3.12172
27.3906	3.4084
30.0685	3.76667
33.0081	3.96208
36.2352	3.87578
39.7777	3.37692
43.6665	2.52742
47.9356	1.53219
52.622	0.673235
57.7666	0.184626
63.4141	0.0247879
69.6138	0.000947773
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

