Diameter	Volume
0.375124	0.250811
0.411798	0.452316
0.452057	0.669101
0.496252	0.952359
0.544768	1.17174
0.598027	1.36048
0.656493	1.51699
0.720675	1.6567
0.791132	1.7361
0.868477	1.76611
0.953383	1.74021
1.04659	1.66802
1.14891	1.54592
1.26123	1.38307
1.38454	1.19246
1.5199	0.987327
1.66849	0.78905
1.83161	0.610545
2.01068	0.47715
2.20725	0.392849
2.42304	0.370697
2.65993	0.409224
2.91998	0.528113
3.20545	0.725208
3.51883	0.994514
3.86284	1.3034
4.24049	1.63121
4.65506	1.95871
5.11017	2.25466
5.60976	2.48974
6.1582	2.61813
6.76025	2.65026
7.42117	2.58213
8.14669	2.45951
8.94315	2.28659
9.81748	2.12344
10.7773	2.00631
11.8309	1.97334
12.9876	2.04597
14.2573	2.16043
15.6512	2.33181
17.1813	2.45602
18.861	2.59196
20.705	2.69303
22.7292	2.81391
24.9513	3.01646
27.3906	3.2789
30.0685	3.65815
33.0081	3.96749
36.2352	4.11167
39.7777	3.87836
43.6665	3.23139
47.9356	2.29399
52.622	1.23475
57.7666	0.459695
63.4141	0.0849939
69.6138	0.00652955
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

