Diameter	Volume
0.375124	0.143995
0.411798	0.261013
0.452057	0.386517
0.496252	0.549969
0.544768	0.67387
0.598027	0.781476
0.656493	0.869552
0.720675	0.947862
0.791132	0.986808
0.868477	0.998599
0.953383	0.977682
1.04659	0.930408
1.14891	0.851035
1.26123	0.749934
1.38454	0.636868
1.5199	0.519804
1.66849	0.411723
1.83161	0.321327
2.01068	0.268116
2.20725	0.253886
2.42304	0.290533
2.65993	0.377252
2.91998	0.53155
3.20545	0.750628
3.51883	1.03461
3.86284	1.35819
4.24049	1.70092
4.65506	2.04426
5.11017	2.36301
5.60976	2.64114
6.1582	2.83679
6.76025	2.95253
7.42117	2.96711
8.14669	2.91655
8.94315	2.80824
9.81748	2.69499
10.7773	2.60415
11.8309	2.55435
12.9876	2.5711
14.2573	2.60025
15.6512	2.68584
17.1813	2.75009
18.861	2.86342
20.705	2.97863
22.7292	3.13973
24.9513	3.39406
27.3906	3.70783
30.0685	4.12577
33.0081	4.44797
36.2352	4.573
39.7777	4.27747
43.6665	3.53454
47.9356	2.487
52.622	1.32769
57.7666	0.491102
63.4141	0.090337
69.6138	0.00693972
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

