Diameter	Volume
0.375124	0.236133
0.411798	0.424683
0.452057	0.628146
0.496252	0.89616
0.544768	1.10755
0.598027	1.29114
0.656493	1.44697
0.720675	1.5908
0.791132	1.68323
0.868477	1.73117
0.953383	1.72949
1.04659	1.68725
1.14891	1.60071
1.26123	1.47442
1.38454	1.31895
1.5199	1.14492
1.66849	0.971533
1.83161	0.808166
2.01068	0.675842
2.20725	0.578689
2.42304	0.533067
2.65993	0.541435
2.91998	0.620069
3.20545	0.764185
3.51883	0.968783
3.86284	1.21141
4.24049	1.47637
4.65506	1.74698
5.11017	1.99179
5.60976	2.18236
6.1582	2.27894
6.76025	2.29412
7.42117	2.22178
8.14669	2.09739
8.94315	1.92406
9.81748	1.76306
10.7773	1.65114
11.8309	1.61974
12.9876	1.67533
14.2573	1.75361
15.6512	1.89091
17.1813	2.02765
18.861	2.2615
20.705	2.51184
22.7292	2.7799
24.9513	3.0324
27.3906	3.21886
30.0685	3.46287
33.0081	3.68317
36.2352	3.95339
39.7777	4.1024
43.6665	3.9916
47.9356	3.51981
52.622	2.66663
57.7666	1.62738
63.4141	0.714771
69.6138	0.188416
76.4196	0.0242323
83.8907	0.000709577
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

