Diameter	Volume
0.375124	0.282534
0.411798	0.50805
0.452057	0.751804
0.496252	1.07203
0.544768	1.32403
0.598027	1.54219
0.656493	1.72748
0.720675	1.89742
0.791132	2.00547
0.868477	2.05985
0.953383	2.05561
1.04659	2.003
1.14891	1.89816
1.26123	1.74694
1.38454	1.56202
1.5199	1.35686
1.66849	1.15328
1.83161	0.962022
2.01068	0.805723
2.20725	0.689769
2.42304	0.631049
2.65993	0.631293
2.91998	0.706395
3.20545	0.849905
3.51883	1.05496
3.86284	1.29645
4.24049	1.55812
4.65506	1.82184
5.11017	2.056
5.60976	2.23161
6.1582	2.30892
6.76025	2.3022
7.42117	2.20991
8.14669	2.07296
8.94315	1.89456
9.81748	1.73379
10.7773	1.62434
11.8309	1.59743
12.9876	1.66377
14.2573	1.76036
15.6512	1.91183
17.1813	2.04061
18.861	2.21741
20.705	2.37791
22.7292	2.53991
24.9513	2.71967
27.3906	2.89559
30.0685	3.16848
33.0081	3.43479
36.2352	3.69339
39.7777	3.74992
43.6665	3.48774
47.9356	2.8748
52.622	1.98609
57.7666	1.04923
63.4141	0.37123
69.6138	0.0666959
76.4196	0.00460015
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

