Diameter	Volume
0.375124	0.147274
0.411798	0.266421
0.452057	0.39494
0.496252	0.562834
0.544768	0.690665
0.598027	0.801906
0.656493	0.894373
0.720675	0.978303
0.791132	1.02269
0.868477	1.03939
0.953383	1.02373
1.04659	0.982292
1.14891	0.907963
1.26123	0.810138
1.38454	0.698099
1.5199	0.579894
1.66849	0.467704
1.83161	0.3691
2.01068	0.30272
2.20725	0.270949
2.42304	0.285929
2.65993	0.34649
2.91998	0.468312
3.20545	0.648924
3.51883	0.889625
3.86284	1.1704
4.24049	1.47497
4.65506	1.78731
5.11017	2.08258
5.60976	2.34731
6.1582	2.54598
6.76025	2.68502
7.42117	2.74331
8.14669	2.75019
8.94315	2.70933
9.81748	2.67093
10.7773	2.66268
11.8309	2.6996
12.9876	2.79706
14.2573	2.89783
15.6512	3.04051
17.1813	3.1568
18.861	3.31336
20.705	3.45756
22.7292	3.61229
24.9513	3.79739
27.3906	3.97259
30.0685	4.18583
33.0081	4.28923
36.2352	4.23879
39.7777	3.87088
43.6665	3.17183
47.9356	2.24508
52.622	1.21698
57.7666	0.461802
63.4141	0.0869643
69.6138	0.00696879
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

