Diameter	Volume
0.375124	0.191819
0.411798	0.345815
0.452057	0.51189
0.496252	0.730516
0.544768	0.900992
0.598027	1.04987
0.656493	1.17556
0.720675	1.29205
0.791132	1.36324
0.868477	1.39915
0.953383	1.39385
1.04659	1.35594
1.14891	1.27868
1.26123	1.16918
1.38454	1.03593
1.5199	0.888075
1.66849	0.740377
1.83161	0.600626
2.01068	0.48844
2.20725	0.406474
2.42304	0.3701
2.65993	0.378378
2.91998	0.447031
3.20545	0.571673
3.51883	0.753112
3.86284	0.972146
4.24049	1.21693
4.65506	1.47388
5.11017	1.71681
5.60976	1.92704
6.1582	2.06822
6.76025	2.15504
7.42117	2.17202
8.14669	2.15051
8.94315	2.08583
9.81748	2.03284
10.7773	2.02259
11.8309	2.0808
12.9876	2.21986
14.2573	2.37236
15.6512	2.5776
17.1813	2.76629
18.861	3.02789
20.705	3.29341
22.7292	3.5738
24.9513	3.85999
27.3906	4.09657
30.0685	4.35581
33.0081	4.50439
36.2352	4.54165
39.7777	4.29669
43.6665	3.71761
47.9356	2.84974
52.622	1.81696
57.7666	0.884462
63.4141	0.28242
69.6138	0.0463748
76.4196	0.00268933
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

