Diameter	Volume
0.375124	0.343937
0.411798	0.618465
0.452057	0.915227
0.496252	1.30391
0.544768	1.60921
0.598027	1.87196
0.656493	2.09408
0.720675	2.29497
0.791132	2.42024
0.868477	2.47758
0.953383	2.46204
1.04659	2.38457
1.14891	2.24373
1.26123	2.04408
1.38454	1.80187
1.5199	1.53365
1.66849	1.26741
1.83161	1.01641
2.01068	0.8072
2.20725	0.647076
2.42304	0.554057
2.65993	0.532562
2.91998	0.59849
3.20545	0.746801
3.51883	0.96448
3.86284	1.22627
4.24049	1.51464
4.65506	1.81226
5.11017	2.07998
5.60976	2.27989
6.1582	2.37087
6.76025	2.36927
7.42117	2.28728
8.14669	2.16207
8.94315	1.99482
9.81748	1.84259
10.7773	1.7504
11.8309	1.76905
12.9876	1.90562
14.2573	2.08501
15.6512	2.26961
17.1813	2.33496
18.861	2.34797
20.705	2.31986
22.7292	2.36711
24.9513	2.57454
27.3906	2.89996
30.0685	3.33224
33.0081	3.60992
36.2352	3.58807
39.7777	3.12991
43.6665	2.30931
47.9356	1.30546
52.622	0.502204
57.7666	0.0972672
63.4141	0.00760079
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

