Diameter	Volume
0.375124	0.160265
0.411798	0.290082
0.452057	0.429112
0.496252	0.610621
0.544768	0.749724
0.598027	0.870425
0.656493	0.969812
0.720675	1.0588
0.791132	1.10662
0.868477	1.1243
0.953383	1.10682
1.04659	1.06162
1.14891	0.983555
1.26123	0.882186
1.38454	0.769008
1.5199	0.653759
1.66849	0.549272
1.83161	0.464801
2.01068	0.420631
2.20725	0.421873
2.42304	0.480097
2.65993	0.595745
2.91998	0.784726
3.20545	1.04571
3.51883	1.37435
3.86284	1.74465
4.24049	2.13236
4.65506	2.51939
5.11017	2.87984
5.60976	3.19273
6.1582	3.4123
6.76025	3.53776
7.42117	3.56078
8.14669	3.51627
8.94315	3.40589
9.81748	3.26621
10.7773	3.1324
11.8309	3.04726
12.9876	3.03647
14.2573	3.02481
15.6512	2.99212
17.1813	2.8789
18.861	2.82067
20.705	2.90729
22.7292	3.22865
24.9513	3.73574
27.3906	4.16471
30.0685	4.24149
33.0081	3.7343
36.2352	2.74135
39.7777	1.51055
43.6665	0.559589
47.9356	0.104042
52.622	0.00755579
57.7666	0
63.4141	0
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

