Diameter	Volume
0.375124	0.145832
0.411798	0.263199
0.452057	0.38967
0.496252	0.556771
0.544768	0.687179
0.598027	0.8024
0.656493	0.900478
0.720675	0.993271
0.791132	1.05183
0.868477	1.08579
0.953383	1.09021
1.04659	1.07239
1.14891	1.02605
1.26123	0.957534
1.38454	0.873934
1.5199	0.780746
1.66849	0.689519
1.83161	0.604253
2.01068	0.541206
2.20725	0.499251
2.42304	0.4922
2.65993	0.517041
2.91998	0.587548
3.20545	0.696582
3.51883	0.844867
3.86284	1.01597
4.24049	1.19954
4.65506	1.38785
5.11017	1.55991
5.60976	1.70451
6.1582	1.78827
6.76025	1.83103
7.42117	1.81328
8.14669	1.76219
8.94315	1.66643
9.81748	1.57324
10.7773	1.50905
11.8309	1.49117
12.9876	1.54061
14.2573	1.58885
15.6512	1.71279
17.1813	1.8606
18.861	2.16742
20.705	2.53634
22.7292	2.96326
24.9513	3.39916
27.3906	3.77609
30.0685	4.25225
33.0081	4.72788
36.2352	5.30497
39.7777	5.73718
43.6665	5.81449
47.9356	5.33377
52.622	4.22624
57.7666	2.76847
63.4141	1.34156
69.6138	0.424791
76.4196	0.0673952
83.8907	0.00373196
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

