Diameter	Volume
0.375124	0.146089
0.411798	0.263672
0.452057	0.389417
0.496252	0.555926
0.544768	0.686688
0.598027	0.801834
0.656493	0.898457
0.720675	0.989163
0.791132	1.04694
0.868477	1.07961
0.953383	1.08076
1.04659	1.05862
1.14891	1.00882
1.26123	0.936515
1.38454	0.847552
1.5199	0.747891
1.66849	0.649948
1.83161	0.558257
2.01068	0.488791
2.20725	0.439652
2.42304	0.423887
2.65993	0.43921
2.91998	0.500786
3.20545	0.601077
3.51883	0.739403
3.86284	0.898137
4.24049	1.06892
4.65506	1.24502
5.11017	1.40635
5.60976	1.53892
6.1582	1.60807
6.76025	1.63573
7.42117	1.60887
8.14669	1.55633
8.94315	1.46013
9.81748	1.36212
10.7773	1.28854
11.8309	1.2653
12.9876	1.31548
14.2573	1.35821
15.6512	1.45058
17.1813	1.53329
18.861	1.76394
20.705	2.09032
22.7292	2.55296
24.9513	3.08535
27.3906	3.55386
30.0685	4.00923
33.0081	4.31659
36.2352	4.65689
39.7777	4.95886
43.6665	5.25409
47.9356	5.43465
52.622	5.26869
57.7666	4.67802
63.4141	3.61207
69.6138	2.30327
76.4196	1.09505
83.8907	0.333106
92.0923	0.0515757
101.096	0.00250667
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

