Diameter	Volume
0.375124	0.153756
0.411798	0.278087
0.452057	0.412128
0.496252	0.587184
0.544768	0.720904
0.598027	0.837196
0.656493	0.933944
0.720675	1.02148
0.791132	1.06848
0.868477	1.08648
0.953383	1.07072
1.04659	1.02769
1.14891	0.950903
1.26123	0.849475
1.38454	0.732958
1.5199	0.609608
1.66849	0.492296
1.83161	0.389018
2.01068	0.318819
2.20725	0.284485
2.42304	0.29811
2.65993	0.35892
2.91998	0.482873
3.20545	0.668076
3.51883	0.915094
3.86284	1.20331
4.24049	1.51586
4.65506	1.83632
5.11017	2.13937
5.60976	2.41001
6.1582	2.612
6.76025	2.75054
7.42117	2.80605
8.14669	2.80941
8.94315	2.7649
9.81748	2.72299
10.7773	2.71052
11.8309	2.74644
12.9876	2.84527
14.2573	2.9509
15.6512	3.09319
17.1813	3.19646
18.861	3.32688
20.705	3.44009
22.7292	3.57649
24.9513	3.76541
27.3906	3.95871
30.0685	4.18291
33.0081	4.26003
36.2352	4.1249
39.7777	3.64292
43.6665	2.84265
47.9356	1.88433
52.622	0.945908
57.7666	0.326303
63.4141	0.0563366
69.6138	0.00392172
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

