Diameter	Volume
0.375124	0.29814
0.411798	0.535766
0.452057	0.792286
0.496252	1.12937
0.544768	1.39478
0.598027	1.62331
0.656493	1.81636
0.720675	1.99258
0.791132	2.10397
0.868477	2.15661
0.953383	2.14604
1.04659	2.08353
1.14891	1.96614
1.26123	1.79719
1.38454	1.59076
1.5199	1.36125
1.66849	1.13231
1.83161	0.91373
2.01068	0.727901
2.20725	0.579715
2.42304	0.48812
2.65993	0.455518
2.91998	0.494378
3.20545	0.595257
3.51883	0.75117
3.86284	0.943134
4.24049	1.15835
4.65506	1.3804
5.11017	1.5766
5.60976	1.72003
6.1582	1.77894
6.76025	1.77459
7.42117	1.70682
8.14669	1.60351
8.94315	1.45933
9.81748	1.32931
10.7773	1.24918
11.8309	1.24811
12.9876	1.32193
14.2573	1.38314
15.6512	1.45032
17.1813	1.47566
18.861	1.60086
20.705	1.80289
22.7292	2.11712
24.9513	2.47744
27.3906	2.75205
30.0685	2.9658
33.0081	3.03422
36.2352	3.13609
39.7777	3.27719
43.6665	3.51777
47.9356	3.79044
52.622	3.88564
57.7666	3.66742
63.4141	3.01205
69.6138	2.0459
76.4196	1.03466
83.8907	0.337987
92.0923	0.0558256
101.096	0.00310808
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

