Diameter	Volume
0.375124	0.162593
0.411798	0.294422
0.452057	0.435917
0.496252	0.620024
0.544768	0.760829
0.598027	0.882914
0.656493	0.983591
0.720675	1.07275
0.791132	1.11961
0.868477	1.1355
0.953383	1.11519
1.04659	1.06497
1.14891	0.980223
1.26123	0.870643
1.38454	0.747015
1.5199	0.618954
1.66849	0.500076
1.83161	0.40038
2.01068	0.339829
2.20725	0.323129
2.42304	0.361295
2.65993	0.45503
2.91998	0.620903
3.20545	0.858513
3.51883	1.16491
3.86284	1.51413
4.24049	1.88347
4.65506	2.25307
5.11017	2.59704
5.60976	2.8949
6.1582	3.10476
6.76025	3.22357
7.42117	3.2396
8.14669	3.19006
8.94315	3.08519
9.81748	2.97084
10.7773	2.87586
11.8309	2.83157
12.9876	2.86135
14.2573	2.91433
15.6512	2.98387
17.1813	2.9812
18.861	2.97138
20.705	2.97236
22.7292	3.09625
24.9513	3.38803
27.3906	3.77465
30.0685	4.15199
33.0081	4.22121
36.2352	3.86186
39.7777	3.03979
43.6665	1.95341
47.9356	0.939223
52.622	0.288173
57.7666	0.0453624
63.4141	0.00227745
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

